order_date;document_number;costumer;product;unit_price;document_value;implant_date
07/01/2023;1;1;3;120;360;01/01/2023
08/01/2023;2;1;5;90;450;01/01/2023
11/01/2023;3;2;8;190;1520;08/01/2023
12/01/2023;4;1;1;100;100;01/01/2023
12/01/2023;5;1;5;90;450;01/01/2023
14/01/2023;6;1;4;150;600;01/01/2023
17/01/2023;7;1;10;200;2000;01/01/2023
17/01/2023;8;2;9;200;1800;08/01/2023
17/01/2023;9;3;5;90;450;15/01/2023
24/01/2023;10;1;9;200;1800;01/01/2023
27/01/2023;11;2;9;200;1800;08/01/2023
27/01/2023;12;3;7;40;280;15/01/2023
27/01/2023;13;4;9;200;1800;17/01/2023
28/01/2023;14;2;4;150;600;08/01/2023
28/01/2023;15;3;8;190;1520;15/01/2023
28/01/2023;16;4;7;40;280;17/01/2023
29/01/2023;17;2;8;190;1520;08/01/2023
31/01/2023;18;1;4;150;600;01/01/2023
01/02/2023;19;1;9;200;1800;01/01/2023
01/02/2023;20;3;3;120;360;15/01/2023
01/02/2023;21;6;5;90;450;01/02/2023
02/02/2023;22;1;4;150;600;01/01/2023
03/02/2023;23;1;2;105;210;01/01/2023
03/02/2023;24;2;4;150;600;08/01/2023
04/02/2023;25;6;3;120;360;01/02/2023
05/02/2023;26;1;9;200;1800;01/01/2023
05/02/2023;27;2;1;100;100;08/01/2023
07/02/2023;28;3;3;120;360;15/01/2023
08/02/2023;29;3;6;30;180;15/01/2023
08/02/2023;30;5;5;90;450;31/01/2023
08/02/2023;31;8;9;200;1800;06/02/2023
09/02/2023;32;2;2;105;210;08/01/2023
09/02/2023;33;4;3;120;360;17/01/2023
10/02/2023;34;3;6;30;180;15/01/2023
11/02/2023;35;7;10;200;2000;06/02/2023
11/02/2023;36;8;1;100;100;06/02/2023
11/02/2023;37;9;10;200;2000;09/02/2023
12/02/2023;38;4;6;30;180;17/01/2023
12/02/2023;39;8;2;105;210;06/02/2023
13/02/2023;40;1;3;120;360;01/01/2023
13/02/2023;41;7;3;120;360;06/02/2023
13/02/2023;42;8;5;90;450;06/02/2023
14/02/2023;43;7;7;40;280;06/02/2023
14/02/2023;44;9;6;30;180;09/02/2023
14/02/2023;45;10;10;200;2000;14/02/2023
15/02/2023;46;6;5;90;450;01/02/2023
16/02/2023;47;6;9;200;1800;01/02/2023
16/02/2023;48;8;7;40;280;06/02/2023
16/02/2023;49;8;10;200;2000;06/02/2023
16/02/2023;50;10;7;40;280;14/02/2023
16/02/2023;51;11;8;190;1520;16/02/2023
16/02/2023;52;11;4;150;600;16/02/2023
17/02/2023;53;2;6;30;180;08/01/2023
17/02/2023;54;3;2;105;210;15/01/2023
17/02/2023;55;6;8;190;1520;01/02/2023
17/02/2023;56;8;10;200;2000;06/02/2023
17/02/2023;57;9;7;40;280;09/02/2023
17/02/2023;58;9;6;30;180;09/02/2023
18/02/2023;59;1;4;150;600;01/01/2023
18/02/2023;60;2;1;100;100;08/01/2023
18/02/2023;61;5;2;105;210;31/01/2023
18/02/2023;62;11;2;105;210;16/02/2023
19/02/2023;63;1;5;90;450;01/01/2023
19/02/2023;64;1;1;100;100;01/01/2023
19/02/2023;65;4;2;105;210;17/01/2023
19/02/2023;66;6;5;90;450;01/02/2023
20/02/2023;67;4;4;150;600;17/01/2023
20/02/2023;68;7;9;200;1800;06/02/2023
21/02/2023;69;1;7;40;280;01/01/2023
21/02/2023;70;2;6;30;180;08/01/2023
21/02/2023;71;4;1;100;100;17/01/2023
21/02/2023;72;5;10;200;2000;31/01/2023
21/02/2023;73;10;10;200;2000;14/02/2023
21/02/2023;74;11;10;200;2000;16/02/2023
21/02/2023;75;11;2;105;210;16/02/2023
22/02/2023;76;1;10;200;2000;01/01/2023
22/02/2023;77;7;1;100;100;06/02/2023
22/02/2023;78;8;4;150;600;06/02/2023
23/02/2023;79;1;2;105;210;01/01/2023
23/02/2023;80;3;1;100;100;15/01/2023
23/02/2023;81;4;9;200;1800;17/01/2023
23/02/2023;82;10;4;150;600;14/02/2023
23/02/2023;83;11;2;105;210;16/02/2023
24/02/2023;84;7;4;150;600;06/02/2023
25/02/2023;85;5;7;40;280;31/01/2023
25/02/2023;86;6;8;190;1520;01/02/2023
25/02/2023;87;8;7;40;280;06/02/2023
26/02/2023;88;4;9;200;1800;17/01/2023
26/02/2023;89;8;4;150;600;06/02/2023
27/02/2023;90;7;2;105;210;06/02/2023
28/02/2023;91;1;1;100;100;01/01/2023
01/03/2023;92;4;9;200;1800;17/01/2023
01/03/2023;93;10;3;120;360;14/02/2023
02/03/2023;94;7;8;190;1520;06/02/2023
02/03/2023;95;7;3;120;360;06/02/2023
03/03/2023;96;1;9;200;1800;01/01/2023
03/03/2023;97;2;3;120;360;08/01/2023
03/03/2023;98;11;10;200;2000;16/02/2023
04/03/2023;99;8;6;30;180;06/02/2023
04/03/2023;100;9;8;190;1520;09/02/2023
04/03/2023;101;11;2;105;210;16/02/2023
04/03/2023;102;12;5;90;450;19/02/2023
05/03/2023;103;4;4;150;600;17/01/2023
05/03/2023;104;4;6;30;180;17/01/2023
05/03/2023;105;5;5;90;450;31/01/2023
05/03/2023;106;8;3;120;360;06/02/2023
05/03/2023;107;13;8;190;1520;03/03/2023
05/03/2023;108;13;9;200;1800;03/03/2023
06/03/2023;109;1;8;190;1520;01/01/2023
06/03/2023;110;3;10;200;2000;15/01/2023
06/03/2023;111;5;9;200;1800;31/01/2023
06/03/2023;112;6;5;90;450;01/02/2023
06/03/2023;113;10;1;100;100;14/02/2023
07/03/2023;114;3;8;190;1520;15/01/2023
07/03/2023;115;4;10;200;2000;17/01/2023
07/03/2023;116;6;7;40;280;01/02/2023
07/03/2023;117;10;6;30;180;14/02/2023
07/03/2023;118;11;3;120;360;16/02/2023
07/03/2023;119;14;8;190;1520;03/03/2023
09/03/2023;120;2;1;100;100;08/01/2023
09/03/2023;121;3;8;190;1520;15/01/2023
09/03/2023;122;6;4;150;600;01/02/2023
09/03/2023;123;6;5;90;450;01/02/2023
09/03/2023;124;7;5;90;450;06/02/2023
09/03/2023;125;8;8;190;1520;06/02/2023
09/03/2023;126;8;10;200;2000;06/02/2023
09/03/2023;127;9;7;40;280;09/02/2023
09/03/2023;128;10;6;30;180;14/02/2023
09/03/2023;129;14;2;105;210;03/03/2023
10/03/2023;130;12;4;150;600;19/02/2023
10/03/2023;131;14;9;200;1800;03/03/2023
11/03/2023;132;2;10;200;2000;08/01/2023
11/03/2023;133;10;8;190;1520;14/02/2023
11/03/2023;134;12;8;190;1520;19/02/2023
11/03/2023;135;16;4;150;600;10/03/2023
12/03/2023;136;5;5;90;450;31/01/2023
12/03/2023;137;6;8;190;1520;01/02/2023
12/03/2023;138;13;8;190;1520;03/03/2023
12/03/2023;139;15;1;100;100;10/03/2023
13/03/2023;140;6;10;200;2000;01/02/2023
13/03/2023;141;6;6;30;180;01/02/2023
13/03/2023;142;11;10;200;2000;16/02/2023
13/03/2023;143;16;4;150;600;10/03/2023
14/03/2023;144;1;3;120;360;01/01/2023
14/03/2023;145;1;7;40;280;01/01/2023
14/03/2023;146;3;2;105;210;15/01/2023
14/03/2023;147;9;10;200;2000;09/02/2023
15/03/2023;148;2;10;200;2000;08/01/2023
15/03/2023;149;3;10;200;2000;15/01/2023
15/03/2023;150;15;5;90;450;10/03/2023
15/03/2023;151;16;1;100;100;10/03/2023
16/03/2023;152;1;4;150;600;01/01/2023
16/03/2023;153;10;1;100;100;14/02/2023
16/03/2023;154;10;3;120;360;14/02/2023
16/03/2023;155;12;4;150;600;19/02/2023
16/03/2023;156;14;9;200;1800;03/03/2023
16/03/2023;157;15;1;100;100;10/03/2023
17/03/2023;158;4;7;40;280;17/01/2023
17/03/2023;159;16;1;100;100;10/03/2023
18/03/2023;160;6;6;30;180;01/02/2023
18/03/2023;161;11;6;30;180;16/02/2023
18/03/2023;162;11;1;100;100;16/02/2023
18/03/2023;163;15;10;200;2000;10/03/2023
18/03/2023;164;17;8;190;1520;16/03/2023
19/03/2023;165;1;9;200;1800;01/01/2023
19/03/2023;166;3;9;200;1800;15/01/2023
19/03/2023;167;4;10;200;2000;17/01/2023
19/03/2023;168;7;9;200;1800;06/02/2023
19/03/2023;169;12;3;120;360;19/02/2023
19/03/2023;170;13;6;30;180;03/03/2023
20/03/2023;171;8;5;90;450;06/02/2023
20/03/2023;172;8;2;105;210;06/02/2023
20/03/2023;173;12;10;200;2000;19/02/2023
20/03/2023;174;17;6;30;180;16/03/2023
20/03/2023;175;18;9;200;1800;18/03/2023
21/03/2023;176;1;5;90;450;01/01/2023
21/03/2023;177;3;1;100;100;15/01/2023
21/03/2023;178;3;9;200;1800;15/01/2023
21/03/2023;179;18;1;100;100;18/03/2023
22/03/2023;180;18;3;120;360;18/03/2023
23/03/2023;181;9;6;30;180;09/02/2023
23/03/2023;182;16;4;150;600;10/03/2023
23/03/2023;183;17;10;200;2000;16/03/2023
24/03/2023;184;1;2;105;210;01/01/2023
24/03/2023;185;6;8;190;1520;01/02/2023
24/03/2023;186;11;2;105;210;16/02/2023
25/03/2023;187;1;5;90;450;01/01/2023
25/03/2023;188;2;8;190;1520;08/01/2023
25/03/2023;189;3;6;30;180;15/01/2023
25/03/2023;190;4;7;40;280;17/01/2023
25/03/2023;191;8;9;200;1800;06/02/2023
25/03/2023;192;9;8;190;1520;09/02/2023
26/03/2023;193;2;9;200;1800;08/01/2023
26/03/2023;194;4;3;120;360;17/01/2023
26/03/2023;195;5;4;150;600;31/01/2023
26/03/2023;196;15;10;200;2000;10/03/2023
26/03/2023;197;16;9;200;1800;10/03/2023
26/03/2023;198;18;2;105;210;18/03/2023
27/03/2023;199;2;9;200;1800;08/01/2023
27/03/2023;200;3;1;100;100;15/01/2023
27/03/2023;201;12;5;90;450;19/02/2023
27/03/2023;202;12;5;90;450;19/02/2023
27/03/2023;203;15;7;40;280;10/03/2023
27/03/2023;204;16;7;40;280;10/03/2023
27/03/2023;205;17;7;40;280;16/03/2023
28/03/2023;206;10;3;120;360;14/02/2023
28/03/2023;207;12;6;30;180;19/02/2023
29/03/2023;208;4;2;105;210;17/01/2023
29/03/2023;209;17;2;105;210;16/03/2023
29/03/2023;210;19;4;150;600;27/03/2023
30/03/2023;211;4;8;190;1520;17/01/2023
30/03/2023;212;5;3;120;360;31/01/2023
30/03/2023;213;6;2;105;210;01/02/2023
30/03/2023;214;9;6;30;180;09/02/2023
30/03/2023;215;11;1;100;100;16/02/2023
31/03/2023;216;5;10;200;2000;31/01/2023
31/03/2023;217;18;4;150;600;18/03/2023
31/03/2023;218;18;2;105;210;18/03/2023
01/04/2023;219;5;3;120;360;31/01/2023
01/04/2023;220;11;5;90;450;16/02/2023
01/04/2023;221;12;1;100;100;19/02/2023
01/04/2023;222;16;5;90;450;10/03/2023
01/04/2023;223;17;10;200;2000;16/03/2023
01/04/2023;224;19;7;40;280;27/03/2023
01/04/2023;225;20;7;40;280;29/03/2023
02/04/2023;226;3;8;190;1520;15/01/2023
02/04/2023;227;6;10;200;2000;01/02/2023
02/04/2023;228;6;4;150;600;01/02/2023
02/04/2023;229;7;1;100;100;06/02/2023
02/04/2023;230;20;6;30;180;29/03/2023
03/04/2023;231;9;2;105;210;09/02/2023
03/04/2023;232;13;8;190;1520;03/03/2023
03/04/2023;233;15;3;120;360;10/03/2023
04/04/2023;234;2;1;100;100;08/01/2023
04/04/2023;235;4;9;200;1800;17/01/2023
04/04/2023;236;13;7;40;280;03/03/2023
04/04/2023;237;14;10;200;2000;03/03/2023
05/04/2023;238;2;6;30;180;08/01/2023
05/04/2023;239;16;3;120;360;10/03/2023
05/04/2023;240;18;9;200;1800;18/03/2023
05/04/2023;241;19;10;200;2000;27/03/2023
05/04/2023;242;22;3;120;360;03/04/2023
06/04/2023;243;2;1;100;100;08/01/2023
06/04/2023;244;4;5;90;450;17/01/2023
06/04/2023;245;12;8;190;1520;19/02/2023
06/04/2023;246;19;2;105;210;27/03/2023
07/04/2023;247;5;7;40;280;31/01/2023
07/04/2023;248;6;2;105;210;01/02/2023
